COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,AH04E001,AH04E002,AH04E003,AH04E004,AH04E005,AH04E006,AH04E007,AH04E008,AH04E009,AH04E010,AH04E011,AH04E012,AH04E013,AH04E014,AH04E015,AH04E016,AH04E017,AH04E018,AH04E019,AH04E020,AH04E021,AH04E022,AH04E023,AH04E024,AH04E025,AH04M001,AH04M002,AH04M003,AH04M004,AH04M005,AH04M006,AH04M007,AH04M008,AH04M009,AH04M010,AH04M011,AH04M012,AH04M013,AH04M014,AH04M015,AH04M016,AH04M017,AH04M018,AH04M019,AH04M020,AH04M021,AH04M022,AH04M023,AH04M024,AH04M025,STATEA,COUNTYA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6659,10,0,0,0,4,0,0,13,11,9,138,76,154,188,106,1794,543,609,1335,511,824,221,80,33,39,9,17,17,17,7,17,17,20,19,10,67,36,57,47,45,161,106,111,148,96,94,77,49,21,16,035
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3235,4,0,13,0,0,0,0,0,0,0,128,37,60,67,25,889,128,276,592,285,511,197,12,11,162,6,12,20,12,12,12,12,12,12,12,88,42,58,58,28,194,48,87,152,106,125,98,12,11,16,037
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16039,310,0,0,56,8,42,16,27,311,24,217,211,196,273,269,3623,848,1503,3343,1939,2046,586,121,70,139,139,22,22,47,12,47,32,36,147,30,104,103,69,118,100,376,235,218,342,312,363,148,78,50,16,039
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7619,45,0,0,0,0,0,0,41,62,1,16,120,109,100,212,2271,249,855,1276,724,1085,290,68,95,124,35,19,19,19,19,19,19,51,46,3,18,126,71,65,91,240,89,162,195,158,201,88,37,79,16,041
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8210,109,0,0,0,0,25,14,6,83,37,134,118,129,200,138,2149,502,593,1402,838,1220,346,77,90,66,74,19,19,19,19,23,15,8,33,38,74,58,56,93,52,226,113,127,187,162,204,82,47,49,16,043
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11696,92,0,0,71,12,67,0,0,66,65,140,222,226,255,217,3710,869,928,1623,1162,1355,453,100,63,202,60,19,19,78,21,77,19,19,73,84,74,109,113,97,105,416,173,209,277,203,306,141,64,58,16,045
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9639,303,0,0,0,47,29,40,42,437,47,176,422,173,239,172,2949,395,531,1577,643,984,283,80,70,67,143,19,19,19,50,33,46,48,180,44,115,150,71,92,88,314,140,101,302,159,209,113,97,71,16,047
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11941,17,0,4,12,0,14,22,3,33,114,177,112,258,290,156,3523,658,1209,2112,945,1596,445,126,115,51,21,19,8,18,19,20,27,6,31,95,67,60,75,116,64,302,138,228,315,162,247,101,66,70,16,049
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15686,350,20,0,0,4,7,148,32,199,53,67,183,262,354,233,3782,661,1286,2284,2429,2398,666,172,96,138,143,32,22,22,7,8,78,31,128,50,43,85,133,106,100,384,155,256,351,346,325,199,89,59,16,051
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13837,357,0,0,20,67,78,20,66,791,35,262,519,395,468,263,3855,632,1211,2022,971,1299,299,131,76,68,117,22,22,29,53,52,30,57,218,55,100,197,166,154,96,386,180,191,313,193,239,101,82,51,16,053
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102732,403,2,10,0,47,0,76,33,76,52,542,755,1554,2241,1550,23160,4785,9314,21599,11317,17039,5911,1511,755,203,178,4,15,28,56,28,101,45,63,43,158,213,338,433,263,1026,611,754,1127,943,1115,774,334,204,16,055
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21464,24,0,0,0,5,10,0,2,60,31,87,73,91,218,213,3446,629,1153,3625,1829,5765,2556,618,1029,245,21,25,25,25,8,8,25,4,60,34,40,47,36,102,74,325,143,225,412,248,422,268,166,195,16,057
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5950,53,0,0,0,0,0,5,0,4,2,78,77,47,210,117,1543,375,458,1191,463,934,285,70,38,90,36,17,17,17,17,17,8,17,7,4,57,53,42,102,67,200,103,103,216,130,206,79,53,28,16,059
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2692,7,0,0,0,1,0,0,0,10,5,76,50,57,38,32,735,152,216,633,240,329,104,3,4,27,6,12,12,12,2,12,12,12,8,6,26,22,24,16,19,67,31,44,63,36,44,25,3,5,16,061
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3237,34,0,0,19,43,24,12,0,137,14,69,76,87,136,59,1071,87,235,586,254,222,60,8,4,82,23,17,17,22,30,20,13,17,72,16,35,39,57,54,31,113,26,57,80,62,57,25,9,5,16,063
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16168,112,0,0,0,0,29,69,0,49,12,71,83,77,90,150,2113,317,1138,3055,2746,4042,1240,352,423,179,82,25,25,25,25,44,55,25,47,18,57,55,44,55,74,333,123,190,354,388,381,228,117,125,16,065
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12715,332,0,0,23,30,183,107,66,643,65,188,296,300,408,236,3188,545,896,2226,1181,1272,440,66,24,39,130,22,22,34,33,90,57,66,162,39,80,110,123,138,102,339,134,171,335,219,228,119,36,20,16,067
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27742,163,19,0,0,0,3,35,7,28,22,159,269,451,502,564,7344,1356,2565,5431,2538,4538,1215,331,202,80,89,23,25,25,25,3,52,9,22,18,68,108,155,139,168,510,204,290,411,321,385,233,108,86,16,069
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2643,23,0,0,0,0,0,0,9,0,0,8,68,63,21,45,816,147,302,550,191,300,69,3,28,96,33,12,12,12,12,12,12,17,12,12,9,38,43,20,26,123,57,69,81,65,83,35,6,23,16,071
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7334,97,0,11,19,49,76,53,100,167,79,127,343,242,284,180,2189,370,553,1042,643,555,128,14,13,95,54,19,18,24,48,58,37,64,73,56,54,144,86,109,92,206,94,106,135,126,129,55,14,14,16,073
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14877,153,0,0,0,0,71,46,15,66,79,102,295,417,392,319,3957,1195,1567,2526,1567,1546,318,185,61,110,92,22,22,22,22,60,55,29,46,68,65,122,145,153,103,459,239,262,341,276,295,106,87,47,16,075
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4663,91,0,0,15,0,21,101,72,106,3,280,90,150,50,113,1315,225,352,626,316,502,99,129,7,142,54,17,17,28,17,34,103,74,58,4,91,76,84,49,95,219,119,121,147,114,148,62,73,11,16,077
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9109,35,0,4,0,0,2,2,0,6,30,244,189,310,385,140,2644,762,640,1744,843,803,245,62,19,50,20,19,8,19,19,2,3,19,10,18,99,70,80,95,53,244,142,111,195,167,113,79,28,13,16,079
